id,value,feed_id,created_at,lat,lon,ele
0FSRYMN0XJDWYCHW3RAY8S2W7E,Door 1 OPEN,2991705,2025-01-25 23:09:57 UTC,0.0,0.0,0.0
0FSRYMPYGCCF4AMRMNRJGEEHTR,Door 1 CLOSED,2991705,2025-01-25 23:10:03 UTC,0.0,0.0,0.0
0FSRYMXCVV8AYJY9VZ8BHFB1KF,Door 1 OPEN,2991705,2025-01-25 23:10:24 UTC,0.0,0.0,0.0
0FSRYMYS9C2MA3MRM9SXP2D0TF,Door 1 CLOSED,2991705,2025-01-25 23:10:29 UTC,0.0,0.0,0.0
0FSRZHV51E7573RRREF5C3W4RB,Door 1 OPEN,2991705,2025-01-26 00:00:58 UTC,0.0,0.0,0.0
0FSRZHXNZ996HF45CJFQV3HEVP,Door 1 CLOSED,2991705,2025-01-26 00:01:06 UTC,0.0,0.0,0.0
0FSRZQQE97HDT8DZ2DAC0G0V5A,Door 1 OPEN,2991705,2025-01-26 00:11:15 UTC,0.0,0.0,0.0
0FSRZQR1HFCEF24HQHPEJFM1GN,Door 1 CLOSED,2991705,2025-01-26 00:11:17 UTC,0.0,0.0,0.0
0FSRZVNDFS89QX7HNB5FYYKD4C,Door 1 OPEN,2991705,2025-01-26 00:18:08 UTC,0.0,0.0,0.0
0FSRZVQ3F2W4ZD335ZR94H9X1A,Door 1 CLOSED,2991705,2025-01-26 00:18:13 UTC,0.0,0.0,0.0
0FSS1BHPM02371DZ7T2RKPCB5Q,Door 1 OPEN,2991705,2025-01-26 01:41:49 UTC,0.0,0.0,0.0
0FSS1BKVZWQY3WY27N81GPHD0B,Door 1 CLOSED,2991705,2025-01-26 01:41:56 UTC,0.0,0.0,0.0
0FSS2MSBX01CSNRME8NR5EM8BT,Door 1 OPEN,2991705,2025-01-26 02:53:53 UTC,0.0,0.0,0.0
0FSS2MT3VC75937N8QEACQT2QT,Door 1 CLOSED,2991705,2025-01-26 02:53:55 UTC,0.0,0.0,0.0
0FSS2S4R5RG7YKB61MPZV0HF6V,Door 1 OPEN,2991705,2025-01-26 03:01:30 UTC,0.0,0.0,0.0
0FSS2S96HY4FQ264TXXH8PWW72,Door 1 CLOSED,2991705,2025-01-26 03:01:44 UTC,0.0,0.0,0.0
0FSS2SDC9VYT68M4JK3BRGEKSZ,Door 1 OPEN,2991705,2025-01-26 03:01:58 UTC,0.0,0.0,0.0
0FSS2SF8Y361EH7X58ZNZZG1AT,Door 1 CLOSED,2991705,2025-01-26 03:02:04 UTC,0.0,0.0,0.0
0FSS2ZCENFEWHARNKATEKJA80X,Door 1 OPEN,2991705,2025-01-26 03:12:24 UTC,0.0,0.0,0.0
0FSS2ZD9HZ53DPQRKVBH0JT63A,Door 1 CLOSED,2991705,2025-01-26 03:12:27 UTC,0.0,0.0,0.0
0FSS6ZP56V64AGWZ71B3CH62JA,Door 1 OPEN,2991705,2025-01-26 06:56:38 UTC,0.0,0.0,0.0
